;idn;library;title;subtitle;category;date;person;ddc;issn
0;012981613;zdb;Führer durch die jüdische Gemeindeverwaltung und Wohlfahrtspflege in Deutschland;;JUDAICA;1932-1933;;340;
2;015310019;zdb;Führer durch die jüdische Wohlfahrtspflege in Deutschland;;JUDAICA;1928-1929;;290;
4;1147584931;zdb;Actes et conférences de la Société des Études Juives;;JUDAICA;1886-1889;;290;
6;015223736;zdb;Jüdischer Almanach für Groß-Rumänien;;JUDAICA;1922-;;290;
7;1143848942;zdb;Jüdischer Almanach;;JUDAICA;1902-1903;;910;
8;1162220708;zdb;Juedischer Almanach für Gross-Rumänien;mit Kalender für das Jahr ... = almanahul evreiesc pentru România-Mare : cu calendarul pentru anul ...;JUDAICA;1922-1923;;290;
9;1101586648;zdb;Jüdischer Almanach;auf das Jahr ...;JUDAICA;1925-1938;;050;
10;022996001;zdb;Golem;europäisch-jüdischer Almanach;7,7;1999-2007;;290;
11;010133259;zdb;Jüdischer Almanach;;JUDAICA;1921-1921;;050;
12;1162219637;zdb;Jüdischer Almanach;;JUDAICA;1921;;050;
13;015225445;zdb;Jüdischer Almanach;auf das Jahr ...;JUDAICA;1924-1935;;290;
14;016628705;zdb;Jüdischer Almanach ... des Leo-Baeck-Instituts;;JUDAICA;1992-2001;;300;
15;010133275;zdb;Jüdischer Almanach;auf das Jahr ...;JUDAICA;1924-1937;;290;
16;010059911;zdb;Jüdischer Almanach;;JUDAICA;1902-1910;;910;
17;012965987;zdb;Hebraeische Bibliographie;"Bl. für neuere u. ältere Literatur d. Judenthums ; zugl. e. Erg. zu allen Organen d. Buchhandels";01a;1858-1882;;010;
18;012965995;zdb;Zeitschrift für hebraeische Bibliographie;;24,1;1896-1921;;010;
21;1162302755;zdb;Freie jüdische Lehrerstimme;"Monatsschrift für die Pflege der Interessen des Judentums in Schule und Haus : Organ des ""Österr.-Israelit. Religionslehrerbund""";JUDAICA;1912-1920;;370;
25;018487297;zdb;Zeitschrift für die Geschichte der Juden in Deutschland;;;1934-1934;;290;
26;02526933X;zdb;Zeitschrift für die Geschichte der Juden in Deutschland;;JUDAICA;1887-1937;;290;
27;011278900;zdb;Zeitschrift für die Geschichte der Juden in Deutschland;;1;1929-1938;;290;
28;011750847;zdb;Zeitschrift für die Geschichte der Juden in Deutschland;;05b;1887-1892;;290;
29;025267701;zdb;Altneuland;Monatsschrift für die wirtschaftliche Erschließung Palästinas;0;1904-1906;;330;
31;013622692;zdb;KC-Blätter;;24;1916-1933;;290;
32;01276891X;zdb;KC-Blätter;Monatsschrift d. im Kartell-Convent vereinigten Korporationen;24;1910-1933;;360;
33;010277498;zdb;KC-Blätter / Kartell-Convent;;JUDAICA;1911-1914;;290;
35;027047121;zdb;Bericht der Hochschule für die Wissenschaft des Judenthums in Berlin;;JUDAICA;1874-1938;;290;
37;026668327;zdb;Bar Kochba-Hakoah Nachrichten;= Yedi'ot Bar-Kochba-Hakoah;;1968-1988;;290;
38;015272494;zdb;Bar Kochba;Mitteilungen des Südwestdeutschen Gaues im Deutschen Kreis des Makkabi Weltverbandes;JUDAICA;1926-;;290;
39;015272486;zdb;Mitteilungen des Jüdischen Turn- und Sportvereins Bar-Kochba e.V. Frankfurt a.M.;;JUDAICA;1926-1926;;290;
