,title,number_of_records
0,... Bericht ueber den Verein für die Provinz Westfalen zur Bildung von Elementar-Lehrern und Befoerderung von Handwerken und Kuensten unter den Juden,0
1,Führer durch die jüdische Gemeindeverwaltung und Wohlfahrtspflege in Deutschland,2
2,"Sechzehnter Bericht über die Religionsschule der jüdischen Gemeinde, womit zu der Sonntag den 26. März in dem Hörsaale der jüdischen Knaben-Schule ... öffentlichen Prüfung ... einladet",0
3,... Bericht ueber den Verein für Westfalen und Rheinprovinz zur Bildung von Elementar-Lehrern und Befoerderung von Handwerken und Kuensten unter den Juden,0
4,... Verwaltungsbericht des Haupt-Grenz-Comité's zu Königsberg i. Pr. für Beseitigung der Nothstände unter den Israeliten West-Rußlands,0
5,Führer durch die jüdische Wohlfahrtspflege in Deutschland,2
6,Bericht der Isr. Religionsschule zu Kiel,0
7,Actes et conférences de la Société des Études Juives,2
8,Jüdischer Almanach,11
9,Österreichisch-ungarische Cantoren-Zeitung,0
10,"Rechenschaftsbericht des Vereins ""Gumpertz'sches Siechenhaus"" und der ""Minka von Goldschmidt-Rothschild-Stiftung""",0
11,"[Verein zur Pflege und Unterstützung israelitischer Kranker Bikkur Cholim, gegründet v. Dr. M. Hirsch. Bericht 4, 1895/97-14,1909]",0
12,... Jahresbericht der Jüdischen Frauenvereinigung e.V. zu Frankfurt a.M.,0
13,Bericht des Pflegamtes des Almosenkastens der israelitischen Gemeinde über dessen Wirksamkeit im Jahre ...,0
14,Jahresbericht der Frauen-Vereinigung der Frankfurt-Loge in Frankfurt a. M.,0
15,Hebraeische Bibliographie,4
16,Freie jüdische Lehrerstimme,2
17,Mitteilungen des Jüdischen Turn- und Sportvereins Bar-Kochba e.V. Frankfurt a.M.,0
18,Zeitschrift für hebraeische Bibliographie,2
19,Zeitschrift für die Geschichte der Juden in Deutschland,4
20,Altneuland,2
21,KC-Blätter,4
22,Bericht der Hochschule für die Wissenschaft des Judenthums in Berlin,2
23,Bar Kochba,19
24,Central-Verein-Zeitung,4
25,Jeschurun,20
26,Sulamith,7
27,Im deutschen Reich,196
28,Der Orient,21
29,Mitteilungen aus dem Verband der Vereine für Jüdische Geschichte und Literatur in Deutschland,2
30,Palästina,152
31,Zeitschrift für die Geschichte der Juden in der Tschechoslowakei,2
32,Illustrirte Monatshefte für die gesammten Interessen des Judenthums,3
33,Jahrbücher für jüdische Geschichte und Litteratur,3
34,Central-Anzeiger für jüdische Litteratur,2
35,Jüdische Zeitschrift für Wissenschaft und Leben,2
36,Jüdische Weltrundschau,2
37,Blau-Weiss-Blätter,5
38,Neue Nationalzeitung,3
39,Nationalzeitung,144
40,Neue Zeitung,152
41,Die Stimme,182
42,Jüdisches Volksblatt,17
43,Israelitische Rundschau,2
44,Jüdische Zeitung,45
45,Der Israelit,13
46,Der Jude,14
47,Ben Chananja,4
48,Nachrichtendienst,549
49,Palästina-Nachrichten,5
50,Mitteilungen der Arbeitsgemeinschaft Jüdisch-Liberaler Jugendvereine Deutschlands,0
51,Nahalat tsevi,2
52,Dibre Emeth,2
53,Deborah,10
54,Der Israelit des neunzehnten Jahrhunderts,4
55,Magazin für die Wissenschaft des Judenthums,2
56,Bericht über das Schuljahr ... der Stiftischen Realschule mit Lyzeum der Israelitischen Religionsgesellschaft in Frankfurt am Main,0
57,Freie zionistische Blätter,2
58,Ost und West,72
59,Kalender und Jahrbuch für Israeliten,4
60,Jüdisch-liberale Zeitung,4
61,Jüdische Volksstimme,3
62,Der treue Zionswächter,2
63,Jüdische Presse,10
64,Mitteilungen zur jüdischen Volkskunde,3
65,Der Jüdische Arbeiter,3
66,Mitteilungen der Gesellschaft für Jüdische Volkskunde,4
67,Jahrbuch der Gesellschaft für Geschichte der Juden in der Čechoslovakischen Republik,2
68,Volk und Land,7
69,Zeitschrift für Demographie und Statistik der Juden,2
70,Jüdische Rundschau,18
71,Neue jüdische Presse,2
72,Korrespondenzblatt des Vereins zur Gründung und Erhaltung einer Akademie für die Wissenschaft des Judentums,2
73,Judaica,201
74,Jüdische Arbeits- und Wanderfürsorge,2
75,Der Anfang,7
76,Der neue Anfang,2
77,Die neue Welt,32
78,Bericht des Jüdisch-Theologischen Seminars Fraenckel'scher Stiftung,0
