,idn,library,title,subtitle,category,date,person,ddc,issn,language,gnd_number,responsibility,publication_info,frequency,subjects,electronic_access,notes,physical_description,series_statement,other_identifier,linking_entry,dewey_classification,gov_doc_classification
0,012981613,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399696440>],Führer durch die jüdische Gemeindeverwaltung und Wohlfahrtspflege in Deutschland,,JUDAICA,1932-1933,,340,,ger,,hrsg. von der Zentralwohlfahrtsstelle der Deutschen Juden,,,[],,,,,,"['\n', '\n']",340,
1,1188418459,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x3993bd400>],Führer durch die jüdische Gemeindeverwaltung und Wohlfahrtspflege in Deutschland,,JUDAICA,1932-1933,,290,,ger,urn:nbn:de:hebis:30:1-157566,herausgegeben von der Zentralwohlfahrtsstelle der Deutschen Juden,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-157566,Reproduktion,,,urn:nbn:de:hebis:30:1-157566,"['\n', '\n']",290,
0,015310019,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399709a80>],Führer durch die jüdische Wohlfahrtspflege in Deutschland,,JUDAICA,1928-1929,,290,,ger,,hrsg. von d. Zentralwohlfahrtsstelle der Deutschen Juden,,,[],,,,,,"['\n', '\n']",290,
1,1188418165,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399709900>],Führer durch die jüdische Wohlfahrtspflege in Deutschland,,JUDAICA,1928-1929,,290,,ger,urn:nbn:de:hebis:30:1-157558,herausgegeben von der Zentralwohlfahrtsstelle der Deutschen Juden,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-157558,Reproduktion,,,urn:nbn:de:hebis:30:1-157558,"['\n', '\n']",290,
0,010131159,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x194913440>],Actes et conférences de la Société des Études Juives,,JUDAICA,1886-1889,,290,1149-8684,,,,,,[],,,,,,"['\n', '\n']",290,
1,1147584931,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x3965eabc0>],Actes et conférences de la Société des Études Juives,,JUDAICA,1886-1889,,290,,fre,urn:nbn:de:hebis:30:1-119042,Société des Études Juives,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-119042,Reproduktion,,,urn:nbn:de:hebis:30:1-119042,['\n'],290,
0,010133275,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399714dc0>],Jüdischer Almanach,auf das Jahr ...,JUDAICA,1924-1937,,290,,ger,,"Hrsg.: Selbstwehr, jüdisches Volksblatt in Prag",,,[],,,,,,"['\n', '\n']",290,
1,015223736,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399442540>],Jüdischer Almanach für Groß-Rumänien,,JUDAICA,1922-,,290,,ger,,,,,[],,,,,,['\n'],290,
2,015225445,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x3996fd780>],Jüdischer Almanach,auf das Jahr ...,JUDAICA,1924-1935,,290,,ger,,,,,[],,,,,,[],290,
3,1101586648,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x3995d4680>],Jüdischer Almanach,auf das Jahr ...,JUDAICA,1925-1938,,050,,ger,urn:nbn:de:bvb:355-zdb2856683-2,"Herausgeber ""Selbstwehr"" Jüdisches Volksblatt in Prag",,,[],https://nbn-resolving.org/urn:nbn:de:bvb:355-zdb2856683-2,Herausgeber  5685 [1924/1925]-5691 [1930/1931]: Keren Kajemeth Lejisrael in Prag,,,urn:nbn:de:bvb:355-zdb2856683-2,"['\n', '\n']",050,
